	presynaptic_ID	counts	postsynaptic_ID	partner_ID	name	top_nt	super_class	cell_class
0	720575940611509198	60	720575940605894833	720575940611509198	L1	glutamate	optic	LA>ME
1	720575940637943920	11	720575940605894833	720575940637943920	Lawf2	acetylcholine	optic	ME>LA
2	720575940632409903	11	720575940605894833	720575940632409903	L3	acetylcholine	optic	LA>ME
3	720575940612976497	10	720575940605894833	720575940612976497	cM05	acetylcholine	visual_centrifugal	nan
4	720575940630407751	10	720575940605894833	720575940630407751	Mi1	acetylcholine	optic	ME
5	720575940632434221	9	720575940605894833	720575940632434221	Tm2	acetylcholine	optic	ME>LO
6	720575940626044942	7	720575940605894833	720575940626044942	OA-AL2b2	acetylcholine	visual_centrifugal	nan
7	720575940611599458	5	720575940605894833	720575940611599458	Mi15	acetylcholine	optic	ME
8	720575940621825407	5	720575940605894833	720575940621825407	C2	gaba	optic	ME>LA
9	720575940622676092	5	720575940605894833	720575940622676092	CB3836	acetylcholine	optic	ME>LO
10	720575940629632759	5	720575940605894833	720575940629632759	L5	acetylcholine	optic	LA>ME
11	720575940612219761	5	720575940605894833	720575940612219761	Tm4	acetylcholine	optic	ME>LO
12	720575940623890685	5	720575940605894833	720575940623890685	T4a	acetylcholine	optic	ME>LOP
13	720575940620730154	3	720575940605894833	720575940620730154	nan	nan	nan	nan
14	720575940630084060	3	720575940605894833	720575940630084060	T4a	acetylcholine	optic	ME>LOP
15	720575940629485584	3	720575940605894833	720575940629485584	CB3847	gaba	optic	ME
16	720575940627983336	3	720575940605894833	720575940627983336	L5	acetylcholine	optic	LA>ME
17	720575940635419060	3	720575940605894833	720575940635419060	Tm4	acetylcholine	optic	ME>LO
18	720575940621573473	3	720575940605894833	720575940621573473	Mi9	glutamate	optic	ME
19	720575940628038808	3	720575940605894833	720575940628038808	cM15	acetylcholine	visual_centrifugal	nan
20	720575940626024496	3	720575940605894833	720575940626024496	L2	acetylcholine	optic	LA>ME
21	720575940621984892	3	720575940605894833	720575940621984892	Mi13	gaba	optic	ME
22	720575940628878791	3	720575940605894833	720575940628878791	Lawf2	acetylcholine	optic	ME>LA
